id,source_path,source_symbol_or_feature,category,source_behavior,source_variants,source_states,source_a11y,source_theme_dependencies,target_spec,target_language_syntax,target_runtime_path,target_test_ids,target_demo,visual_evidence,status,notes
W4-GLASS,packages/ui,GlassCard,component-premium,,,,,,,,,,,,INVENTORIED,
W4-GRADIENTBORDER,packages/ui,GradientBorder,component-premium,,,,,,,,,,,,INVENTORIED,
W4-GRADIENTTEXT,packages/ui,GradientText,component-premium,,,,,,,,,,,,INVENTORIED,
W4-SPOTLIGHT,packages/ui,SpotlightCard,component-premium,,,,,,,,,,,,INVENTORIED,
W4-AURORA,packages/ui,AuroraBackground,component-premium,,,,,,,,,,,,INVENTORIED,
W4-SHIMMER,packages/ui,Shimmer,component-premium,,,,,,,,,,,,INVENTORIED,
W4-ANIMATEDBUTTON,packages/ui,AnimatedButton,component-premium,,,,,,,,,,,,INVENTORIED,
W4-REVEAL,packages/ui,Reveal,component-premium,,,,,,,,,,,,INVENTORIED,
W4-LOGOCAROUSEL,packages/ui,LogoCarousel,component-premium,,,,,,,,,,,,INVENTORIED,
W4-MOTION,packages/ui,Motion presets,component-premium,,,,,,,,,,,,INVENTORIED,
STACK,packages/stack,Stack Builder,stack-builder,,,,,,,,,,,,INVENTORIED,
AIKIT,packages/ai-kit,AI kit / agent doctrine,ai-kit,,,,,,,,,,,,INVENTORIED,
CLI,packages/cli,CLI init/add/compose/theme/upgrade/add-page,cli,,,,,,,,,,,,INVENTORIED,
CREATEAPP,packages/create-cronus-app,App scaffolding,scaffold,,,,,,,,,,,,INVENTORIED,
CREATESTACK,packages/create-cronus-stack,Stack scaffolding,scaffold,,,,,,,,,,,,INVENTORIED,
MCP,packages/mcp,Registry MCP,mcp,,,,,,,,,,,,INVENTORIED,
REGISTRY,registry,Generated component registry,registry,,,,,,,,,,,,INVENTORIED,
WWW,apps/www,OSS docs/showcase,docs,,,,,,,,,,,,INVENTORIED,
PRO,apps/pro,Pro app/showcase if in intended scope,docs,,,,,,,,,,,,INVENTORIED,default out of port until ADR 0005/0006 decision
EXAMPLES,examples,Consumer smoke examples,examples,,,,,,,,,,,,INVENTORIED,
E2E,e2e,E2E/a11y/contrast flows,e2e,,,,,,,,,,,,INVENTORIED,
LOOKS,packages/tokens,Looks default/brutalist/glass,theme,,,,,,,,,,,,INVENTORIED,ADR 0004 orthogonal to theme
W0-BUTTONGROUP,packages/ui,ButtonGroup,component-foundation,,,,,,,,,,,,INVENTORIED,
W0-SPLITBUTTON,packages/ui,SplitButton,component-foundation,,,,,,,,,,,,INVENTORIED,
W0-COPYBUTTON,packages/ui,CopyButton,component-foundation,,,,,,,,,,,,INVENTORIED,
W0-CHIP,packages/ui,Chip,component-foundation,,,,,,,,,,,,INVENTORIED,
W0-ALERT,packages/ui,Alert,component-foundation,,,,,,,,,,,,INVENTORIED,
W0-STATUSDOT,packages/ui,StatusDot,component-foundation,,,,,,,,,,,,INVENTORIED,
W0-ASPECTRATIO,packages/ui,AspectRatio,component-foundation,,,,,,,,,,,,INVENTORIED,
W1-INPUTGROUP,packages/ui,InputGroup,component-forms,,,,,,,,,,,,INVENTORIED,
W1-PASSWORD,packages/ui,PasswordInput,component-forms,,,,,,,,,,,,INVENTORIED,
W1-NUMBER,packages/ui,NumberInput,component-forms,,,,,,,,,,,,INVENTORIED,
W1-FLOATINGLABEL,packages/ui,FloatingLabelInput,component-forms,,,,,,,,,,,,INVENTORIED,
W1-PHONE,packages/ui,PhoneInput,component-forms,,,,,,,,,,,,INVENTORIED,
W1-CURRENCY,packages/ui,CurrencyInput,component-forms,,,,,,,,,,,,INVENTORIED,
W1-CREDITCARD,packages/ui,CreditCardInput,component-forms,,,,,,,,,,,,INVENTORIED,
W1-COMBOBOX,packages/ui,Combobox,component-forms,,,,,,,,,,,,INVENTORIED,
W1-AUTOCOMPLETE,packages/ui,Autocomplete,component-forms,,,,,,,,,,,,INVENTORIED,
W1-MULTISELECT,packages/ui,MultiSelect,component-forms,,,,,,,,,,,,INVENTORIED,
W1-TAGS,packages/ui,TagsInput,component-forms,,,,,,,,,,,,INVENTORIED,
W1-COLORPICKER,packages/ui,ColorPicker,component-forms,,,,,,,,,,,,INVENTORIED,
W1-RATING,packages/ui,Rating,component-forms,,,,,,,,,,,,INVENTORIED,
W1-SIGNATURE,packages/ui,SignaturePad,component-forms,,,,,,,,,,,,INVENTORIED,
W1-SEGMENTED,packages/ui,SegmentedControl,component-forms,,,,,,,,,,,,INVENTORIED,
W1-DATERANGE,packages/ui,DateRangePicker,component-forms,,,,,,,,,,,,INVENTORIED,
W1-TIMEPICKER,packages/ui,TimePicker,component-forms,,,,,,,,,,,,INVENTORIED,
W1-RTE,packages/ui,RichTextEditor,component-forms,,,,,,,,,,,,INVENTORIED,TipTap peer; likely INTENTIONAL_DIFFERENCE later
W2-CONTEXTMENU,packages/ui,ContextMenu,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-MENUBAR,packages/ui,Menubar,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-NAVMENU,packages/ui,NavigationMenu,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-COLLAPSIBLE,packages/ui,Collapsible,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-CONFIRM,packages/ui,ConfirmationDialog,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-INVITE,packages/ui,InviteDialog,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-SIDEBAR,packages/ui,Sidebar,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,source Wave 5
W2-APPSHELL,packages/ui,AppShell,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,source Wave 5
W2-MODETOGGLE,packages/ui,ModeToggle,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-TOOLBAR,packages/ui,Toolbar,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W2-STEPPER,packages/ui,Stepper,component-overlays-navigation,,,,,,,,,,,,INVENTORIED,
W3-ALERTBANNER,packages/ui,Banner,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-AVATARGROUP,packages/ui,AvatarGroup,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-DL,packages/ui,DescriptionList,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-JSON,packages/ui,JsonViewer,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-CODEBLOCK,packages/ui,CodeBlock,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-KANBAN,packages/ui,Kanban,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-TREE,packages/ui,TreeView,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-SCHEDULER,packages/ui,Scheduler,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-CAROUSEL,packages/ui,Carousel,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-CHART-AREA,packages/ui,AreaChart,component-data-display,,,,,,,,,,,,INVENTORIED,Recharts wrapper
W3-CHART-BAR,packages/ui,BarChart,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-CHART-LINE,packages/ui,LineChart,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-CHART-PIE,packages/ui,PieChart,component-data-display,,,,,,,,,,,,INVENTORIED,
W3-CHART-VISX,packages/ui/src/charts,visx chart kit subpath,component-data-display,,,,,,,,,,,,INVENTORIED,not main barrel
W4-MARQUEE,packages/ui,Marquee,component-premium,,,,,,,,,,,,INVENTORIED,
CLI-INIT,packages/cli,cronus-ui init,cli,,,,,,,,,,,,INVENTORIED,map onto cronus CLI after SDD
CLI-ADD,packages/cli,cronus-ui add,cli,,,,,,,,,,,,INVENTORIED,
CLI-COMPOSE,packages/cli,cronus-ui compose,cli,,,,,,,,,,,,INVENTORIED,kernel already has compose — name conflict
CLI-THEME,packages/cli,cronus-ui theme set/add,cli,,,,,,,,,,,,INVENTORIED,
CLI-UPGRADE,packages/cli,cronus-ui upgrade,cli,,,,,,,,,,,,INVENTORIED,
REACT,packages/ui,React/Next/Bun runtime,release-tooling,,,,,,,,,,,,INTENTIONAL_DIFFERENCE,must not exist on target runtime
RHF,packages/ui,React Hook Form,component-forms,,,,,,,,,,,,INTENTIONAL_DIFFERENCE,replace with native validation
REF,CONTRACT.md,React ref forwarding,component-foundation,,,,,,,,,,,,INTENTIONAL_DIFFERENCE,no CRONUS equivalent
